GEOID,NAME,variable,estimate,moe,summary_est,summary_moe,pct,SE,summary_SE,pct_SE
1,United States,tt_tot,7641160,21502,7641160,21502,1,13071.12462006079,13071.12462006079,0.00241918265200033
1,United States,tt_under10,87235,2580,7641160,21502,0.011416460328013025,1568.3890577507598,13071.12462006079,2.0618233254706417e-4
1,United States,tt_10_14,167441,3366,7641160,21502,0.02191303414664789,2046.2006079027356,13071.12462006079,2.7039749321971834e-4
1,United States,tt_15_19,318852,4433,7641160,21502,0.04172821927560737,2694.8328267477204,13071.12462006079,3.5982453786580963e-4
1,United States,tt_20_24,521527,6569,7641160,21502,0.06825233341534531,3993.3130699088147,13071.12462006079,5.35488637115507e-4
1,United States,tt_25_29,281888,4545,7641160,21502,0.03689073386763266,2762.917933130699,13071.12462006079,3.6704911512832966e-4
1,United States,tt_30_34,1162442,9416,7641160,21502,0.1521289961210078,5724.012158054711,13071.12462006079,7.930175383575035e-4
1,United States,tt_35_44,796562,6071,7641160,21502,0.10424621392563432,3690.577507598784,13071.12462006079,5.14855382737683e-4
1,United States,tt_45_59,1350977,10189,7641160,21502,0.17680260588706426,6193.920972644377,13071.12462006079,8.651837445455389e-4
1,United States,tt_60plus,2954236,15007,7641160,21502,0.3866214030330473,9122.796352583586,13071.12462006079,0.0013648451792659076
1,United States,avg,384833285,1401104,7641160,21502,50.36320205309141,851734.9544072949,13071.12462006079,0.1408795584794066
