GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
270531098004007,55410,6-113,86,0,0,0,83
270531008004010,55412,19-113,90,47,9,5,19
270530001021020,55412,22-113,0,0,0,0,0
270530248012015,55423,5-113,47,11,8,2,25
271230403022019,55110,270-113,14,0,0,3,11
271230416022001,55113,62-113,76,0,7,0,61
271230426012025,55109,64-113,100,18,13,16,47
271230402001030,55110,265-113,30,0,0,0,25
271230367002002,55102,54-113,64,0,4,9,48
271230367003006,55102,54-113,39,0,0,0,30
271230303004036,55117,3-113,76,4,3,0,69
271230303001011,55117,65-113,70,6,2,0,56
270530202023007,55430,722-113,81,0,24,32,23
270530261013006,55305,671-113,84,2,0,0,77
270530001011011,55430,22-113,75,37,2,14,20
270370603014017,55075,68-113,68,6,5,0,51
271410315002053,56304,887-113,0,0,0,0,0
270530268244018,55443,722-113,40,15,2,7,14
270530121023004,55417,22-113,51,1,27,1,21
270530276012003,55364,677-113,63,0,3,0,58
270530202024001,55430,768-113,64,13,6,16,23
270030507042026,55448,854-113,82,1,2,0,77
270370606051029,55120,415-113,0,0,0,0,0
270530236002011,55424,46-113,80,0,0,0,79
270530236002016,55424,46-113,124,0,6,0,117
270530262012017,55345,667-113,0,0,0,0,0
270530230004001,55416,17-113,327,10,10,11,289
270530240052000,55435,578-113,215,18,3,2,188
270531056002001,55403,18-113,0,0,0,0,0
270530229011015,55416,612-113,58,0,1,0,56
270530239012008,55439,578-113,76,0,0,6,68
270530212001009,55422,19-113,0,0,0,0,0
270530273001011,55391,645-113,0,0,0,0,0
270530210015008,55427,756-113,56,0,0,3,48
270530253021022,55420,535-113,57,4,1,0,45
270531115004008,55419,113-113,76,2,4,0,64
270530229013002,55416,612-113,42,0,1,0,39
270531007001005,55412,19-113,57,14,7,3,33
270531064002013,55406,67-113,43,0,2,1,39
270530256011006,55431,539-113,51,0,11,0,39
270530262012009,55345,667-113,229,0,2,7,215
270530216014004,55427,705-113,37,0,0,0,37
270530215051009,55427,756-113,13,1,1,3,3
270530259065000,55438,589-113,88,2,0,11,72
270531031002009,55413,17-113,36,2,12,0,18
270531034003000,55405,923-113,306,280,1,5,8
270531262011023,55405,923-113,0,0,0,0,0
270531112002008,55410,6-113,65,0,2,1,61
270531007001009,55412,923-113,90,13,10,0,53
270531009002019,55412,5-113,106,53,11,23,14
271630714001011,55016,364-113,12,0,3,0,7
271630714005006,55016,364-113,71,0,4,5,61
271630714001031,55016,364-113,55,1,11,1,37
270530268165024,55445,724-113,0,0,0,0,0
270530265103008,55442,717-113,92,4,3,1,81
270531076002010,55406,21-113,55,0,3,3,49
270030513052003,55421,801-113,70,11,12,4,35
270030508294040,55449,25-113,0,0,0,0,0
270030506062003,55433,850-113,72,9,12,0,47
270030508261004,55434,831-113,80,6,19,16,39
270030505012024,55303,805-113,18,0,0,0,18
270531025003016,55413,10-113,0,0,0,0,0
270530209033016,55428,716-113,53,3,4,1,45
270530264062001,55305,9-113,0,0,0,0,0
270530254014009,55420,18-113,74,6,15,9,38
270030502294019,55014,250-113,65,2,0,1,59
270030511021007,55432,10-113,103,12,6,0,85
270530262022031,55345,667-113,46,1,2,4,34
270530262021002,55345,671-113,0,0,0,0,0
270530262022020,55345,667-113,9,0,0,3,5
270530252053004,55420,553-113,41,0,4,0,36
270531080004006,55408,6-113,91,0,3,6,80
270530120033003,55419,18-113,106,8,1,0,94
270530228012013,55416,25-113,22,0,0,0,20
270530272031020,55391,645-113,95,0,0,0,93
270530241001003,55423,515-113,53,0,2,0,50
270530257024006,55431,535-113,0,0,0,0,0
270530269061012,55316,766-113,70,1,3,7,58
270530258011001,55431,535-113,0,0,0,0,0
270531087001011,55407,22-113,34,1,3,2,23
270370601032017,55118,75-113,68,0,4,2,61
270370603024020,55075,68-113,32,1,1,0,22
271630706022030,55082,294-113,62,0,0,0,60
271630705024016,55082,294-113,0,0,0,0,0
271630706021025,55082,294-113,34,1,0,0,28
270030502302038,55038,275-113,0,0,0,0,0
270030507042006,55448,805-113,72,3,4,2,59
270030508293010,55449,865-113,0,0,0,0,0
270030505042016,55303,850-113,19,0,1,0,18
271630709102019,55128,355-113,104,5,22,2,60
270531113001012,55419,156-113,77,0,0,0,77
270530202012009,55430,722-113,43,1,10,7,18
271630709093016,55128,294-113,31,0,4,0,24
270530121021008,55417,515-113,72,4,4,3,48
270530268191003,55443,760-113,73,20,8,23,20
270530215011006,55428,705-113,80,24,8,6,42
270531113002018,55419,156-113,68,0,4,5,52
270530247001004,55423,5-113,138,18,17,3,100
270530221021015,55426,9-113,38,0,3,0,23
270530228012005,55416,25-113,41,0,3,0,38
271630712103008,55016,361-113,13,0,0,0,5
271630706043017,55082,294-113,71,2,9,0,60
270531086001000,55407,22-113,62,3,9,0,42
270530205001011,55430,22-113,47,4,20,0,17
270531034001004,55411,5-113,0,0,0,0,0
270530038012000,55414,6-113,0,0,0,0,0
270530082004002,55408,113-113,124,12,9,0,92
270531262023011,55401,667-113,390,4,27,32,307
270530208011020,55428,716-113,54,0,14,0,36
270530240051001,55435,578-113,51,18,1,18,8
270531002002010,55412,5-113,30,6,1,5,16
270530254012022,55420,553-113,40,0,5,3,31
270531067002008,55405,6-113,104,0,2,6,96
270531262011006,55411,5-113,0,0,0,0,0
270030515011004,55421,10-113,0,0,0,0,0
270531041003016,55405,9-113,61,25,6,1,16
270530032002004,55411,7-113,51,22,7,0,19
270530272021014,55356,672-113,0,0,0,0,0
271450003031022,56301,887-113,22,1,7,2,8
270531088002000,55406,21-113,279,106,38,0,112
270531089003011,55406,9-113,63,13,12,1,35
270530059011007,55404,5-113,0,0,0,0,0
270530059023001,55404,9-113,0,0,0,0,0
270530117041011,55417,22-113,0,0,0,0,0
270530001023003,55430,22-113,62,20,13,4,20
270530219002014,55427,755-113,53,0,0,3,47
270530001024010,55430,22-113,51,5,11,10,19
270530240051043,55435,6-113,0,0,0,0,0
270531040023016,55413,30-113,0,0,0,0,0
270530205002011,55430,22-113,55,12,10,9,17
270530206001010,55430,22-113,67,20,13,14,17
270530268183012,55428,705-113,111,12,13,34,49
270530268071004,55428,767-113,0,0,0,0,0
270530217005016,55422,14-113,37,3,3,0,31
270530217001007,55422,14-113,29,0,0,0,27
270531255002022,55420,535-113,5,0,1,0,0
270530261041003,55343,12-113,29,7,2,0,13
270530268114018,55443,722-113,24,11,4,1,5
270530268076008,55428,721-113,0,0,0,0,0
270530215013004,55428,721-113,40,1,0,0,36
