City,Number of route areas,Number of zip codes,Black zip-code dissimilarity,Black transit dissimilarity,Asian zip-code dissimilarity,Asian transit dissimilarity,Hispanic zip-code dissimilarity,Hispanic transit dissimilarity,diff_count
"Atlanta, GA",85,114,0.5657020115564299,0.5518574425319831,0.4074427775333538,0.3889567595598428,0.352959587099337,0.3392939824101645,0.2543859649122807
"Austin, TX",50,76,0.2777335799545725,0.2590604287589745,0.2818366423268797,0.24597925014761665,0.31759583570685207,0.25272055016007405,0.34210526315789475
"Baltimore, MD",178,94,0.45362848469926786,0.38364623325929686,0.35188859678181483,0.3144627864842492,0.30856894346432134,0.27776594213989786,-0.8936170212765957
"Boston, MA",186,183,0.45647699631940086,0.4254858191359529,0.34008034242617574,0.2965300730502651,0.4202897749985746,0.3753088983175093,-0.01639344262295082
"Charlotte, NC",34,46,0.3621988684312587,0.3285827915133789,0.2218793252420954,0.22606764145813207,0.2631994923413666,0.24793670831918505,0.2608695652173913
"Chicago, IL",95,125,0.6355239926666921,0.5119762164055572,0.4419554515606527,0.3761568922201699,0.536210789323749,0.4083273447103494,0.24
"Cincinnati, OH",59,113,0.4169804281541511,0.41541794936409504,0.43988705852661736,0.4042959204868471,0.25811756930471297,0.2277788828944545,0.4778761061946903
"Cleveland, OH",56,52,0.5962853075512539,0.5782324333889315,0.3471545124140196,0.2790882754861523,0.4153400952474898,0.3753859305881093,-0.07692307692307693
"Columbus, OH",48,42,0.4492548521670151,0.27460262224301774,0.3007891484807976,0.2179579381009528,0.21003536145934143,0.14702990227982737,-0.14285714285714285
"Dallas, TX",102,151,0.37378659739568626,0.33085409171857494,0.4334801288890405,0.43432403342085385,0.4020311659601014,0.34201918115636337,0.32450331125827814
"Denver, CO",110,141,0.5110422972716715,0.45034688290219427,0.21271662202125408,0.18856119543512184,0.35907095243493464,0.2908106255759215,0.2198581560283688
"El Paso, TX",28,56,0.3125919403795316,0.28040812329715314,0.31330146065900627,0.2838664892784828,0.2875104285642697,0.26551653984880375,0.5
"Fort Worth, TX",55,50,0.3524079669131532,0.3036065608053957,0.32087204645572187,0.3187503949530123,0.3625458801241804,0.31115145572232483,-0.1
"Houston, TX",121,107,0.3906094927360412,0.2836678820874862,0.3878471631441067,0.32585717078929316,0.3849252472061263,0.2586141908366083,-0.1308411214953271
"Indianapolis, IN",38,30,0.3754220483930259,0.33901088414932234,0.4921962452818617,0.4299042032943324,0.2326269726726905,0.17935802220183356,-0.26666666666666666
"Jacksonville, FL",40,44,0.42310722463048095,0.4144176644134185,0.3070687525456938,0.2508054459518652,0.19650118429178864,0.18995198857117665,0.09090909090909093
"Kansas City, MO-KS",107,70,0.4702206151288491,0.44083168040348686,0.32377031277736174,0.2835428460394567,0.34817085558250377,0.3235000582277233,-0.5285714285714286
"Las Vegas, NV",54,39,0.19275792813884743,0.14343504230422813,0.28285333697317094,0.2194775667353072,0.2983906062544425,0.18428345489938636,-0.38461538461538464
"Los Angeles, CA",258,137,0.4808859485100204,0.36506151570460177,0.42197885026524745,0.29637218019513994,0.45819097865835745,0.32304747927447847,-0.8832116788321168
"Louisville, KY",44,44,0.434759064334117,0.2253923358941325,0.33737042448388843,0.27130274815722566,0.2719378954123597,0.22535759035136677,0
"Miami, FL",93,124,0.6284706402336006,0.5564542983152869,0.2782479352580467,0.2398307768584174,0.44014926391406994,0.3776228805703519,0.25
"Minneapolis, MN",113,147,0.31200676017933043,0.27945058218811986,0.37152974789731413,0.3044712261953976,0.24416235270948528,0.2108177436228819,0.23129251700680273
"Nashville, TN",47,44,0.3342139335990934,0.31102098866153816,0.2927436725480711,0.2800030032406816,0.3553751571588449,0.32934515789640373,-0.06818181818181818
"New York, NY",233,322,0.5501375374342448,0.477505341388318,0.4457232032951,0.3951238613999582,0.4068077738830065,0.3559837590572107,0.27639751552795033
